unit,tra_meas,tra_cov,schedule,geography,date,value
PAS,PAS_CRD,TOTAL,TOT,SK,2014,1671290.0
PAS,PAS_CRD,TOTAL,TOT,UK,2014,220022122.0
PAS,PAS_CRD,TOTAL,TOT,AT,2015,26754007.0
PAS,PAS_CRD,TOTAL,TOT,BE,2015,30958841.0
PAS,PAS_CRD,TOTAL,TOT,BG,2015,7610949.0
PAS,PAS_CRD,TOTAL,TOT,CH,2015,48026375.0
PAS,PAS_CRD,TOTAL,TOT,CY,2015,7590787.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2015,12672004.0
PAS,PAS_CRD,TOTAL,TOT,DE,2015,193936430.0
PAS,PAS_CRD,TOTAL,TOT,DK,2015,30095505.0
PAS,PAS_CRD,TOTAL,TOT,EE,2015,2160978.0
PAS,PAS_CRD,TOTAL,TOT,EL,2015,42096402.0
PAS,PAS_CRD,TOTAL,TOT,ES,2015,174652503.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2015,916483716.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2015,819736983.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2015,918249055.0
PAS,PAS_CRD,TOTAL,TOT,FI,2015,17479246.0
PAS,PAS_CRD,TOTAL,TOT,FR,2015,140867569.0
PAS,PAS_CRD,TOTAL,TOT,HR,2015,6571698.0
PAS,PAS_CRD,TOTAL,TOT,HU,2015,10228352.0
PAS,PAS_CRD,TOTAL,TOT,IE,2015,29545020.0
PAS,PAS_CRD,TOTAL,TOT,IS,2015,4847288.0
PAS,PAS_CRD,TOTAL,TOT,IT,2015,127665221.0
PAS,PAS_CRD,TOTAL,TOT,LT,2015,4227389.0
PAS,PAS_CRD,TOTAL,TOT,LU,2015,2651751.0
PAS,PAS_CRD,TOTAL,TOT,LV,2015,5145856.0
PAS,PAS_CRD,TOTAL,TOT,ME,2015,
PAS,PAS_CRD,TOTAL,TOT,MK,2015,1452373.0
PAS,PAS_CRD,TOTAL,TOT,MT,2015,4619557.0
PAS,PAS_CRD,TOTAL,TOT,NL,2015,64570938.0
PAS,PAS_CRD,TOTAL,TOT,NO,2015,37503052.0
PAS,PAS_CRD,TOTAL,TOT,PL,2015,28907439.0
PAS,PAS_CRD,TOTAL,TOT,PT,2015,36005814.0
PAS,PAS_CRD,TOTAL,TOT,RO,2015,12580711.0
PAS,PAS_CRD,TOTAL,TOT,RS,2015,
PAS,PAS_CRD,TOTAL,TOT,SE,2015,34011263.0
PAS,PAS_CRD,TOTAL,TOT,SI,2015,1436003.0
PAS,PAS_CRD,TOTAL,TOT,SK,2015,1943656.0
PAS,PAS_CRD,TOTAL,TOT,UK,2015,232270437.0
PAS,PAS_CRD,TOTAL,TOT,AT,2016,27181511.0
PAS,PAS_CRD,TOTAL,TOT,BE,2016,30115832.0
PAS,PAS_CRD,TOTAL,TOT,BG,2016,9324217.0
PAS,PAS_CRD,TOTAL,TOT,CH,2016,50505492.0
PAS,PAS_CRD,TOTAL,TOT,CY,2016,8961817.0
PAS,PAS_CRD,TOTAL,TOT,CZ,2016,13672362.0
PAS,PAS_CRD,TOTAL,TOT,DE,2016,200687293.0
PAS,PAS_CRD,TOTAL,TOT,DK,2016,32763142.0
PAS,PAS_CRD,TOTAL,TOT,EE,2016,2214989.0
PAS,PAS_CRD,TOTAL,TOT,EL,2016,45543371.0
PAS,PAS_CRD,TOTAL,TOT,ES,2016,193872037.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2007,2016,970534207.0
PAS,PAS_CRD,TOTAL,TOT,EU27_2020,2016,871695782.0
PAS,PAS_CRD,TOTAL,TOT,EU28,2016,972532157.0
PAS,PAS_CRD,TOTAL,TOT,FI,2016,18099954.0
PAS,PAS_CRD,TOTAL,TOT,FR,2016,145280602.0
PAS,PAS_CRD,TOTAL,TOT,HR,2016,7475463.0
PAS,PAS_CRD,TOTAL,TOT,HU,2016,11660366.0
PAS,PAS_CRD,TOTAL,TOT,IE,2016,32595709.0
PAS,PAS_CRD,TOTAL,TOT,IS,2016,6801814.0
PAS,PAS_CRD,TOTAL,TOT,IT,2016,134477781.0
PAS,PAS_CRD,TOTAL,TOT,LT,2016,4787561.0
PAS,PAS_CRD,TOTAL,TOT,LU,2016,2984242.0
PAS,PAS_CRD,TOTAL,TOT,LV,2016,5384160.0
PAS,PAS_CRD,TOTAL,TOT,ME,2016,1845464.0
PAS,PAS_CRD,TOTAL,TOT,MK,2016,1649374.0
PAS,PAS_CRD,TOTAL,TOT,MT,2016,5080446.0
PAS,PAS_CRD,TOTAL,TOT,NL,2016,70317995.0
PAS,PAS_CRD,TOTAL,TOT,NO,2016,37727546.0
PAS,PAS_CRD,TOTAL,TOT,PL,2016,32266861.0
PAS,PAS_CRD,TOTAL,TOT,PT,2016,40930044.0
